norad,name,date,sma,ecc,ecc2,incl,raan,country,owner,users,purpose,perigee,apogee,mass,launch_date,lifetime,contractor,contractor_country,launch_site,launch_vehicle
7530,OSCAR 7,7/1/2012,7827652,0.00121,0,101.402,179.25,USA,Amsat-NA,Civil,Comms,1440.00,1459.00,29.00,11/15/1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310
23439,RADIO ROSTO,7/1/2012,8400581,0.0167,0.02,64.82,270.45,Russia,RS3A Control Station,Civil,Comms,1885.00,2165.00,,12/26/1994,,Nilakt Posto and radio amateurs,Russia,Baikonur Cosmodrome,Rokot
36122,XIWANG-1 (HOPE-1),7/1/2012,7577036.5,0.00079,0,100.3601,241.82,China,DFH Satellite/AMSAT-China,Civil,Comms,1193.00,1205.00,60.00,12/15/2009,,DFH Satellite,China,Taiyuan Launch Center,Long March 4C
23124,INTELSAT 702,12/4/2012,42181664,0.00024,0,1.2127,76.64,USA,"Intelsat, Ltd.",Commercial,Comms,35776.00,35796.00,3642.00,6/17/1994,15 yrs.,Loral Space Systems,USA,Guiana Space Center,Ariane 44LP
23227,OPTUS B3,4/24/2014,42164476,0.00021,0,5.4241,59.81,Australia,Optus Communications (Parent: Signapore Telecom),Commercial,Comms,35778.00,35796.00,2858.00,8/28/1994,10-14 yrs.,Hughes Space and Communications,USA,Xichang Satellite Launch Center,Long March CZ-2E
23331,ASTRA 1D,6/5/2013,42119488,0.00023,0,4.9793,62.09,Luxembourg,SES (Soci�t� Europ�enne des Satellites (SES)),Commercial,Comms,35776.00,35795.00,2924.00,11/1/1994,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 42P
23864,PALAPA C2,9/12/2012,42164488,0.00006,0,2.1672,72.26,Indonesia,PT Indosat,Commercial,Comms,35784.00,35789.00,3014.00,5/15/1996,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
23943,APSTAR 1A,7/17/2014,42164860,0.00013,0,7.7375,52.26,China,APT Satellite Holdings Ltd.,Commercial,Comms,35779.00,35790.00,1383.00,7/3/1996,,Hughes,USA,Xichang Satellite Launch Center,Long March 3
24315,AMC-1 (GE-1),5/29/2013,42164712,0.00033,0,0.0869,74.2,USA,SES (Soci�t� Europ�enne des Satellites (SES)),Commercial,Comms,35772.00,35800.00,2783.00,9/8/1996,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A
24653,MEASAT 2,10/11/2012,42166616,0.00011,0,4.3889,65.07,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Comms,35782.00,35791.00,1450.00,11/14/1996,11.5 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
